freq,int_so2,int_water,int_deu
6754.3864,0.0002,0.0004,0.0003
6754.5414,0.0001,0.0001,0.0001
6754.6725,0.0002,0.0004,0.0003
6754.6844,0.0002,0.0004,0.0003
6754.8394,0.0005,0.0010,0.0008
6754.9825,0.0001,0.0003,0.0002
6755.3997,0.0002,0.0005,0.0003
6755.6977,0.0002,0.0004,0.0003
6756.1984,0.0000,0.0001,0.0001
6756.3415,0.0000,0.0001,0.0001
6756.6156,0.0000,0.0000,0.0000
6756.9733,0.0000,0.0001,0.0001
6756.9852,0.0000,0.0001,0.0001
6757.9031,0.0008,0.0027,0.0022
6842.3510,0.0000,0.0001,0.0001
6848.2399,0.0010,0.0023,0.0019
6866.5743,0.0001,0.0001,0.0001
6866.5862,0.0000,0.0001,0.0001
6926.1670,0.0000,0.0001,0.0001
6926.1789,0.0000,0.0002,0.0001
6931.9129,0.0000,0.0000,0.0000
6938.5171,0.0000,0.0001,0.0001
6957.7575,0.0000,0.0000,0.0000
6974.3633,0.0002,0.0004,0.0004
7005.3935,0.0000,0.0001,0.0001
7018.4827,0.0000,0.0007,0.0002
7019.7821,0.0000,0.0000,0.0000
7020.3185,0.0000,0.0001,0.0001
7020.5092,0.0000,0.0001,0.0001
7032.7401,0.0001,0.0002,0.0002
7032.8236,0.0001,0.0003,0.0003
7032.9547,0.0001,0.0002,0.0002
7033.3958,0.0005,0.0012,0.0010
7033.5746,0.0003,0.0007,0.0006
7033.7415,0.0000,0.0001,0.0001
7033.8488,0.0001,0.0002,0.0002
7033.9799,0.0009,0.0017,0.0014
7034.1229,0.0006,0.0013,0.0010
7034.5163,0.0002,0.0004,0.0003
7034.7548,0.0001,0.0003,0.0003
7034.9574,0.0004,0.0009,0.0007
7035.2912,0.0003,0.0006,0.0005
7035.4700,0.0001,0.0001,0.0001
7035.5535,0.0001,0.0002,0.0002
7035.7919,0.0001,0.0002,0.0002
7036.2210,0.0001,0.0002,0.0002
7036.3045,0.0000,0.0000,0.0000
7041.1205,0.0001,0.0003,0.0003
7041.1325,0.0001,0.0003,0.0003
7047.9393,0.0000,0.0000,0.0000
7206.5711,0.0001,0.0002,0.0001
7206.7738,0.0000,0.0000,0.0000
7206.7857,0.0000,0.0000,0.0000
7206.9526,0.0000,0.0000,0.0000
7206.9883,0.0000,0.0000,0.0000
7207.5844,0.0000,0.0001,0.0001
7208.2162,0.0000,0.0001,0.0001
7209.0626,0.0000,0.0000,0.0000
7209.2414,0.0000,0.0001,0.0001
7223.4869,0.0002,0.0007,0.0005
7223.6419,0.0005,0.0014,0.0010
7223.7492,0.0005,0.0014,0.0011
7224.1545,0.0003,0.0010,0.0007
7224.1783,0.0003,0.0011,0.0008
7224.2498,0.0001,0.0002,0.0001
7224.5717,0.0004,0.0011,0.0009
7224.5836,0.0004,0.0012,0.0009
7224.7267,0.0014,0.0043,0.0033
7224.9412,0.0005,0.0014,0.0011
7225.0962,0.0005,0.0013,0.0010
7225.2631,0.0012,0.0036,0.0031
7225.7638,0.0008,0.0022,0.0017
7226.2168,0.0003,0.0009,0.0007
7226.3718,0.0007,0.0022,0.0016
7227.1228,0.0003,0.0007,0.0006
7227.2539,0.0003,0.0009,0.0006
7227.3970,0.0001,0.0004,0.0003
7248.3182,0.0001,0.0001,0.0001
7302.5942,0.0000,0.0000,0.0000
7347.6672,0.0002,0.0004,0.0003
7354.8675,0.0000,0.0560,0.0009
7354.9151,0.0001,0.0271,0.0005
7373.5476,0.0000,0.0000,0.0000
7381.6657,0.0000,0.0001,0.0001
7381.6776,0.0000,0.0001,0.0001
7394.5522,0.0000,0.0001,0.0000
7404.0770,0.0000,0.0001,0.0003
7404.1367,0.0000,0.0001,0.0002
7404.3155,0.0000,0.0000,0.0000
7409.7037,0.0000,0.0000,0.0000
7422.9717,0.0000,0.0004,0.0001
7422.9837,0.0000,0.0004,0.0001
7488.0481,0.0000,0.0000,0.0001
7488.0838,0.0000,0.0000,0.0001
7493.5913,0.0000,0.0010,0.0000
7498.4670,0.0000,0.0004,0.0000
7498.4789,0.0000,0.0004,0.0000
7543.3493,0.0000,0.0000,0.0000
7548.8687,0.0001,0.0003,0.0002
7624.7334,0.0000,0.0001,0.0001
7664.7162,0.0000,0.0000,0.0000
7664.7401,0.0000,0.0000,0.0000
7682.9433,0.0002,0.0005,0.0003
7841.4679,0.0000,0.0000,0.0000
7851.6126,0.0000,0.0013,0.0001
7870.3999,0.0000,0.0001,0.0001
7893.4431,0.0000,0.0001,0.0001
7899.1771,0.0000,0.0001,0.0000
7899.2724,0.0000,0.0000,0.0000
7899.2844,0.0000,0.0000,0.0000
7899.6658,0.0000,0.0001,0.0000
7963.2640,0.0000,0.0001,0.0001
7963.2759,0.0000,0.0001,0.0001
7979.6195,0.0001,0.0003,0.0002
