freq,int_so2,int_h2o,int_d2o
6981.5159,0.0002,0.0000,0.0000
6981.5278,0.0002,0.0000,0.0000
7012.1169,0.0000,0.0000,0.0000
7012.1527,0.0000,0.0000,0.0000
7032.5255,0.0002,0.0001,0.0001
7052.6481,0.0009,0.0000,0.0000
7064.9505,0.0011,0.0003,0.0003
7076.0608,0.0018,0.0003,0.0003
7091.0811,0.0000,0.0000,0.0000
7092.9766,0.0000,0.0000,0.0000
7095.9687,0.0042,0.0000,0.0000
7095.9806,0.0042,0.0000,0.0000
7107.9254,0.0001,0.0000,0.0000
7118.2251,0.0001,0.0000,0.0000
7122.7908,0.0001,0.0000,0.0000
7127.3208,0.0001,0.0001,0.0000
7129.9434,0.0001,0.0000,0.0000
7131.9819,0.0000,0.0000,0.0000
7138.9198,0.0002,0.0000,0.0000
7138.9317,0.0002,0.0000,0.0000
7142.7822,0.0001,0.0001,0.0000
7152.9985,0.0002,0.0000,0.0000
7157.2542,0.0001,0.0000,0.0000
7157.2781,0.0001,0.0000,0.0000
7162.9167,0.0001,0.0000,0.0000
7162.9405,0.0001,0.0000,0.0000
7164.4068,0.0002,0.0000,0.0000
7164.4306,0.0001,0.0000,0.0000
7169.6281,0.0001,0.0000,0.0000
