freq,int_doh,int_d2o,cluster
6469.07500000,0.00002230,0.00000000,0
6469.70000000,0.00002289,0.00001562,3
6470.00000000,0.00033896,0.00019922,3
6470.58333333,0.00008096,0.00009486,6
6472.00833333,0.00002937,0.00006631,8
6473.85000000,0.00005877,0.00005180,5
6475.00000000,0.00020015,0.00021257,6
6475.72500000,0.00002587,0.00007201,8
6477.10000000,0.00002523,0.00001796,3
6480.00000000,0.00135374,0.00121471,5
6480.49166667,0.00002398,0.00003222,6
6483.15000000,0.00000000,0.00001452,1
6483.33333333,0.00003069,0.00002433,5
6484.37500000,0.00007890,0.00005685,3
6485.00000000,0.00004491,0.00005882,6
6485.16666667,0.00002467,0.00001277,2
6485.20833333,0.00000000,0.00001645,1
6485.58333333,0.00002115,0.00000000,0
6490.00000000,0.00079447,0.00062423,5
6491.36666667,0.00005821,0.00000000,0
6493.25000000,0.00002169,0.00000000,0
6493.97500000,0.00007906,0.00006196,5
6494.14166667,0.00013887,0.00010585,5
6494.59166667,0.00009733,0.00008366,5
6495.05000000,0.00006003,0.00000000,0
6497.42500000,0.00000000,0.00002554,1
6497.79166667,0.00002118,0.00002443,6
6498.20833333,0.00005832,0.00000000,0
6500.00000000,0.00056984,0.00130551,8
6503.90000000,0.00002691,0.00001640,3
6504.55833333,0.00016460,0.00009537,3
6504.71666667,0.00005471,0.00000000,0
6505.00000000,0.00004172,0.00005341,6
6506.22500000,0.00002254,0.00002269,5
6506.26666667,0.00002016,0.00002562,6
6506.30833333,0.00000000,0.00002376,1
6506.91666667,0.00005888,0.00005690,5
6510.00000000,0.00044573,0.00036567,5
6510.42500000,0.00052253,0.00044338,5
6510.85000000,0.00003701,0.00004140,6
6511.04166667,0.00001973,0.00000000,0
6512.50000000,0.00009778,0.00003803,2
6513.70833333,0.00000000,0.00001189,1
6514.99166667,0.00003006,0.00000000,0
6518.55000000,0.00000000,0.00001381,1
6520.00000000,0.00270487,0.00222187,5
6524.01666667,0.00005408,0.00005250,5
6525.00000000,0.00079013,0.00012427,0
6525.91666667,0.00002069,0.00000000,0
6527.17500000,0.00001981,0.00000000,0
6528.04166667,0.00006730,0.00004842,3
6529.13333333,0.00000000,0.00001881,1
6529.71666667,0.00001981,0.00002886,6
6529.76666667,0.00000000,0.00003239,1
6530.00000000,0.00024449,0.00009876,2
6532.38333333,0.00000000,0.00001703,1
6532.95000000,0.00001984,0.00000000,0
6533.19166667,0.00004253,0.00002178,2
6538.05000000,0.00005755,0.00000000,0
6540.00000000,0.00207223,0.00158495,5
6540.71666667,0.00000000,0.00018004,1
6542.96666667,0.00023927,0.00018105,3
6542.97500000,0.00023777,0.00017890,3
6544.95000000,0.00000000,0.00002695,1
6545.00833333,0.00003063,0.00005604,7
6547.87500000,0.00017756,0.00017800,5
6550.00000000,0.00130786,0.00051733,2
6552.72500000,0.00002415,0.00001963,5
6552.73333333,0.00002461,0.00001932,5
6555.00000000,0.00002152,0.00000000,0
6555.53333333,0.00000000,0.00003275,1
6555.80000000,0.00000000,0.00001439,1
6555.91666667,0.00002899,0.00002766,5
6557.83333333,0.00002952,0.00000000,0
6558.88333333,0.00000000,0.00002883,1
6560.00000000,0.00127621,0.00095299,3
6562.55000000,0.00000000,0.00001243,1
6564.21666667,0.00012174,0.00005473,2
6564.30000000,0.00015831,0.00005498,2
6564.33333333,0.00013482,0.00005159,2
6565.00833333,0.00006381,0.00001220,4
6567.37500000,0.00000000,0.00001526,1
6567.82500000,0.00002883,0.00017175,9
6567.84166667,0.00002778,0.00017720,9
6570.00000000,0.00027670,0.00023139,5
6571.51666667,0.00002673,0.00004835,7
6572.26666667,0.00000000,0.00001232,1
6574.17500000,0.00002382,0.00011203,9
6575.00000000,0.00020130,0.00017188,5
6576.55000000,0.00000000,0.00002324,1
6580.00000000,0.00226291,0.00177333,5
6582.02500000,0.00004150,0.00002451,3
6582.03333333,0.00004091,0.00002457,3
6583.21666667,0.00003670,0.00013087,8
6584.36666667,0.00003153,0.00000000,0
6584.37500000,0.00003168,0.00000000,0
6585.00000000,0.00007431,0.00003256,2
6585.55833333,0.00000000,0.00001171,1
6585.95833333,0.00000000,0.00001261,1
6589.44166667,0.00005841,0.00000000,0
6590.00000000,0.00040884,0.00012895,4
6591.79166667,0.00014231,0.00011955,5
6593.45000000,0.00007721,0.00000000,0
6598.12500000,0.00003566,0.00000000,0
6600.00000000,0.00405960,0.00220590,3
6601.55833333,0.00002567,0.00001657,3
