freq,int_h2o,int_doh,cluster
6542.96666667,0.00021715,0.00023927,5
6542.97500000,0.00021858,0.00023777,5
6544.95000000,0.00003749,0.00000000,0
6545.00833333,0.00000000,0.00003063,1
6547.31666667,0.00010279,0.00000000,0
6547.87500000,0.00049778,0.00017756,2
6549.62500000,0.00007628,0.00000000,0
6550.00000000,0.00152822,0.00130786,4
6552.72500000,0.00003891,0.00002415,4
6552.73333333,0.00003890,0.00002461,4
6554.47500000,0.00005357,0.00000000,0
6555.00000000,0.00000000,0.00002152,1
6555.91666667,0.00018742,0.00002899,0
6557.83333333,0.00000000,0.00002952,1
6560.00000000,0.00123990,0.00127621,5
6563.41666667,0.00003898,0.00000000,0
6564.21666667,0.00025805,0.00012174,3
6564.30000000,0.00012706,0.00015831,6
6564.33333333,0.00015372,0.00013482,5
6565.00833333,0.00005330,0.00006381,5
6567.82500000,0.00000000,0.00002883,1
6567.84166667,0.00000000,0.00002778,1
6570.00000000,0.00057022,0.00027670,3
6571.51666667,0.00007896,0.00002673,2
6574.17500000,0.00000000,0.00002382,1
6575.00000000,0.00021518,0.00020130,5
6580.00000000,0.00264509,0.00226291,4
6582.02500000,0.00004920,0.00004150,4
6582.03333333,0.00004772,0.00004091,4
6583.21666667,0.00000000,0.00003670,1
6584.36666667,0.00003291,0.00003153,5
6584.37500000,0.00000000,0.00003168,1
6585.00000000,0.00005285,0.00007431,6
6589.44166667,0.00000000,0.00005841,1
6590.00000000,0.00031874,0.00040884,6
6591.79166667,0.00014904,0.00014231,5
6592.76666667,0.00003752,0.00000000,0
6593.45000000,0.00004302,0.00007721,8
6593.81666667,0.00006604,0.00000000,0
6594.90000000,0.00003488,0.00000000,0
6598.12500000,0.00000000,0.00003566,1
6600.00000000,0.00371626,0.00405960,5
6601.55833333,0.00000000,0.00002567,1
6604.97500000,0.00012028,0.00007103,3
6610.00000000,0.00039007,0.00065471,6
6614.99166667,0.00004719,0.00000000,0
6616.21666667,0.00000000,0.00002280,1
6616.82500000,0.00004683,0.00000000,0
6617.66666667,0.00013574,0.00000000,0
6620.00000000,0.00241772,0.00214014,5
6620.61666667,0.00016305,0.00006516,2
6620.62500000,0.00016280,0.00006570,2
6621.30000000,0.00006250,0.00000000,0
6625.00000000,0.00034566,0.00041710,5
6625.54166667,0.00000000,0.00003481,1
6630.00000000,0.00043689,0.00049594,5
6630.75833333,0.00000000,0.00002905,1
6630.83333333,0.00003589,0.00003324,5
6631.75833333,0.00000000,0.00002160,1
6637.45833333,0.00000000,0.00002239,1
6638.46666667,0.00000000,0.00003448,1
6638.47500000,0.00000000,0.00003436,1
6640.00000000,0.00213011,0.00192269,5
6640.62500000,0.00051400,0.00036704,4
6642.37500000,0.00005517,0.00000000,0
6644.03333333,0.00008136,0.00000000,0
6645.00000000,0.00012481,0.00003565,2
6650.00000000,0.00052000,0.00065118,6
6655.30000000,0.00003579,0.00002103,3
6655.33333333,0.00004397,0.00000000,0
6656.91666667,0.00005632,0.00015457,9
6656.94166667,0.00004572,0.00016870,9
6660.00000000,0.00275955,0.00264962,5
6664.03333333,0.00000000,0.00009457,1
6665.00833333,0.00006914,0.00018155,8
6668.35000000,0.00005164,0.00003235,4
6668.96666667,0.00000000,0.00003556,1
6668.97500000,0.00000000,0.00003551,1
6670.00000000,0.00067902,0.00078905,5
6672.13333333,0.00000000,0.00002693,1
6672.25000000,0.00000000,0.00004281,1
6673.85833333,0.00000000,0.00002246,1
6674.17500000,0.00000000,0.00005625,1
6675.00000000,0.00177616,0.00140886,4
6679.66666667,0.00006749,0.00004584,4
6679.68333333,0.00007075,0.00004970,4
6680.00000000,0.00412017,0.00336636,4
6681.88333333,0.00000000,0.00006569,1
6684.99166667,0.00000000,0.00002828,1
6685.15000000,0.00010011,0.00000000,0
6689.45000000,0.00013255,0.00012853,5
6690.00000000,0.00035864,0.00064156,8
6697.74166667,0.00000000,0.00001991,1
6699.21666667,0.00000000,0.00003252,1
6699.23333333,0.00000000,0.00003135,1
6700.00000000,0.00389841,0.00317631,4
6700.85000000,0.00004393,0.00000000,0
6704.38333333,0.00003653,0.00000000,0
6704.61666667,0.00000000,0.00008165,1
6705.00000000,0.00011327,0.00012784,5
6710.00000000,0.00093779,0.00089467,5
6713.84166667,0.00000000,0.00002624,1
6715.00000000,0.00000000,0.00003948,1
6716.16666667,0.00009917,0.00004617,3
6716.17500000,0.00010072,0.00004787,3
6716.25833333,0.00000000,0.00006826,1
6716.27500000,0.00003376,0.00006296,8
6718.75000000,0.00006438,0.00005245,4
6720.00000000,0.00212431,0.00207963,5
6723.25833333,0.00006758,0.00000000,0
6723.91666667,0.00011678,0.00000000,0
6724.36666667,0.00006896,0.00000000,0
6725.00000000,0.00060872,0.00015620,2
6725.84166667,0.00000000,0.00006687,1
6726.05833333,0.00007919,0.00000000,0
6726.16666667,0.00008586,0.00000000,0
6730.00000000,0.00014846,0.00043871,9
6731.95833333,0.00015361,0.00006422,3
6732.04166667,0.00008385,0.00009424,5
6733.85000000,0.00003310,0.00000000,0
6735.00833333,0.00028555,0.00007291,2
6735.86666667,0.00012296,0.00002324,7
6738.01666667,0.00006822,0.00002821,3
6738.27500000,0.00016913,0.00015642,5
6738.74166667,0.00034632,0.00006992,7
6739.47500000,0.00043041,0.00008668,7
6740.00000000,0.00217631,0.00211512,5
6740.62500000,0.00000000,0.00004184,1
6740.81666667,0.00007823,0.00000000,0
6743.16666667,0.00000000,0.00004845,1
6743.66666667,0.00048350,0.00026141,3
6743.67500000,0.00049044,0.00027646,3
6743.73333333,0.00034854,0.00032858,5
6745.02500000,0.00004038,0.00005775,6
6746.49166667,0.00005636,0.00000000,0
6746.53333333,0.00005052,0.00000000,0
6746.85000000,0.00000000,0.00002556,1
6747.95833333,0.00000000,0.00010308,1
6748.03333333,0.00003571,0.00004793,6
6748.87500000,0.00066876,0.00025379,2
6749.10000000,0.00014571,0.00000000,0
6749.72500000,0.00005847,0.00000000,0
6749.99166667,0.00153320,0.00120953,4
6750.15833333,0.00000000,0.00002080,1
6750.17500000,0.00000000,0.00002133,1
6750.27500000,0.00003465,0.00000000,0
6751.70000000,0.00004458,0.00000000,0
6754.99166667,0.00000000,0.00003213,1
6755.10000000,0.00003668,0.00000000,0
6756.71666667,0.00004029,0.00000000,0
6757.92500000,0.00000000,0.00002114,1
6758.03333333,0.00000000,0.00003029,1
6760.00000000,0.00280377,0.00246109,5
6763.96666667,0.00004235,0.00000000,0
6765.00000000,0.00004257,0.00005459,6
6767.25000000,0.00005367,0.00000000,0
6767.28333333,0.00004647,0.00000000,0
6768.30833333,0.00013549,0.00024269,8
6770.00000000,0.00032896,0.00029152,5
6770.52500000,0.00000000,0.00002661,1
6771.60833333,0.00028819,0.00012568,3
6773.00833333,0.00008118,0.00000000,0
6774.87500000,0.00000000,0.00002000,1
6775.00000000,0.00045355,0.00004607,0
6776.26666667,0.00003562,0.00000000,0
