freq,int_h2o,int_doh,int_d2o
8033.1167,0.0001,0.0000,0.0000
8033.1250,0.0001,0.0000,0.0000
8034.9750,0.0004,0.0000,0.0001
8040.0000,0.0010,0.0004,0.0007
8045.0000,0.0002,0.0001,0.0001
8050.0000,0.0018,0.0007,0.0008
8060.0000,0.0010,0.0006,0.0009
8065.0000,0.0001,0.0001,0.0001
8068.4667,0.0002,0.0001,0.0001
8068.4833,0.0003,0.0001,0.0001
8070.0000,0.0003,0.0001,0.0002
8080.0000,0.0011,0.0007,0.0009
8080.3917,0.0002,0.0001,0.0001
8084.2083,0.0005,0.0000,0.0000
8085.0000,0.0001,0.0001,0.0001
8090.0000,0.0002,0.0000,0.0002
8091.7583,0.0001,0.0000,0.0000
8093.6917,0.0001,0.0000,0.0000
8093.8167,0.0000,0.0000,0.0000
8099.8583,0.0004,0.0001,0.0000
8104.9917,0.0001,0.0000,0.0000
8105.4583,0.0000,0.0000,0.0000
8110.0000,0.0002,0.0000,0.0002
8110.3250,0.0003,0.0002,0.0000
8112.1667,0.0007,0.0002,0.0001
8112.1750,0.0007,0.0002,0.0001
8114.3750,0.0003,0.0001,0.0000
8114.7083,0.0001,0.0000,0.0000
8116.6167,0.0001,0.0000,0.0000
8120.0000,0.0012,0.0008,0.0010
8125.0000,0.0013,0.0005,0.0007
8130.0250,0.0002,0.0000,0.0002
8135.3917,0.0036,0.0024,0.0010
8136.9500,0.0002,0.0001,0.0001
8140.0000,0.0012,0.0009,0.0009
8144.9917,0.0001,0.0000,0.0000
8160.0000,0.0011,0.0009,0.0010
8165.0167,0.0000,0.0000,0.0000
8166.6083,0.0001,0.0000,0.0001
8166.6250,0.0001,0.0001,0.0001
8167.6333,0.0002,0.0000,0.0000
8170.0000,0.0002,0.0001,0.0002
8174.8667,0.0004,0.0001,0.0001
8175.5083,0.0001,0.0000,0.0000
8177.2333,0.0003,0.0001,0.0001
8178.8750,0.0003,0.0001,0.0001
8180.0000,0.0012,0.0009,0.0009
8184.9917,0.0000,0.0000,0.0000
8187.8000,0.0001,0.0000,0.0000
8189.6583,0.0002,0.0000,0.0000
8189.8083,0.0004,0.0000,0.0000
8190.0000,0.0002,0.0000,0.0002
8193.7667,0.0001,0.0001,0.0000
8199.6500,0.0005,0.0000,0.0000
8200.0000,0.0017,0.0008,0.0012
8203.1250,0.0001,0.0001,0.0001
8206.5667,0.0001,0.0000,0.0001
