freq,int_h2o,int_d2o,cluster
6565.00833333,0.00005330,0.00001220,0
6570.00000000,0.00057022,0.00023139,2
6571.51666667,0.00007896,0.00004835,7
6575.00000000,0.00021518,0.00017188,10
6580.00000000,0.00264509,0.00177333,15
6582.02500000,0.00004920,0.00002451,6
6582.03333333,0.00004772,0.00002457,6
6585.00000000,0.00005285,0.00003256,7
6590.00000000,0.00031874,0.00012895,2
6591.79166667,0.00014904,0.00011955,10
6600.00000000,0.00371626,0.00220590,7
6604.97500000,0.00012028,0.00003741,1
6610.00000000,0.00039007,0.00032674,10
6614.99166667,0.00004719,0.00001457,1
6620.00000000,0.00241772,0.00161849,15
6620.61666667,0.00016305,0.00005674,2
6620.62500000,0.00016280,0.00005644,2
6621.30000000,0.00006250,0.00001409,0
6625.00000000,0.00034566,0.00025137,8
6630.00000000,0.00043689,0.00027224,7
6630.83333333,0.00003589,0.00007415,21
6640.00000000,0.00213011,0.00153859,8
6640.62500000,0.00051400,0.00030557,7
6645.00000000,0.00012481,0.00004872,2
6650.00000000,0.00052000,0.00113151,21
6655.33333333,0.00004397,0.00001273,1
6660.00000000,0.00275955,0.00183822,15
6665.00833333,0.00006914,0.00002788,2
6668.35000000,0.00005164,0.00002213,4
6670.00000000,0.00067902,0.00021953,1
6675.00000000,0.00177616,0.00116698,7
6679.66666667,0.00006749,0.00003342,6
6679.68333333,0.00007075,0.00003071,4
6680.00000000,0.00412017,0.00241442,7
6689.45000000,0.00013255,0.00011289,10
6690.00000000,0.00035864,0.00052475,17
6700.00000000,0.00389841,0.00279282,8
6705.00000000,0.00011327,0.00004501,2
6710.00000000,0.00093779,0.00049324,6
6716.16666667,0.00009917,0.00001445,3
6716.17500000,0.00010072,0.00001439,3
6716.27500000,0.00003376,0.00001710,6
6718.75000000,0.00006438,0.00003776,7
6720.00000000,0.00212431,0.00137185,7
6725.00000000,0.00060872,0.00015857,0
6726.16666667,0.00008586,0.00001384,3
6730.00000000,0.00014846,0.00015880,14
6731.95833333,0.00015361,0.00002242,3
6732.04166667,0.00008385,0.00002783,16
6735.00833333,0.00028555,0.00001874,5
6735.86666667,0.00012296,0.00002484,0
6738.27500000,0.00016913,0.00014074,10
6738.74166667,0.00034632,0.00006790,12
6739.47500000,0.00043041,0.00008744,0
6740.00000000,0.00217631,0.00144056,15
6743.66666667,0.00048350,0.00009606,12
6743.67500000,0.00049044,0.00009595,12
6743.73333333,0.00034854,0.00008264,0
6746.49166667,0.00005636,0.00001722,1
6746.53333333,0.00005052,0.00002722,6
6748.03333333,0.00003571,0.00003423,11
6748.87500000,0.00066876,0.00027568,4
6749.72500000,0.00005847,0.00001663,1
6749.99166667,0.00153320,0.00097769,7
6760.00000000,0.00280377,0.00206030,8
6765.00000000,0.00004257,0.00007572,19
6767.25000000,0.00005367,0.00001182,0
6767.28333333,0.00004647,0.00001380,1
6768.30833333,0.00013549,0.00005101,2
6770.00000000,0.00032896,0.00026456,10
6771.60833333,0.00028819,0.00002267,5
6775.00000000,0.00045355,0.00020865,4
6780.00000000,0.00266405,0.00176124,15
6783.21666667,0.00016504,0.00003426,0
6783.25833333,0.00014970,0.00004063,1
6787.10833333,0.00017588,0.00013914,10
6790.00000000,0.00025292,0.00014732,7
6792.07500000,0.00005570,0.00001705,1
6793.34166667,0.00010839,0.00001176,5
6796.87500000,0.00005989,0.00006345,14
6798.08333333,0.00019326,0.00003330,3
6800.00000000,0.00134501,0.00092944,8
6809.75000000,0.00018188,0.00004473,0
6810.00000000,0.00017479,0.00012092,8
6820.00000000,0.00115001,0.00065444,18
6823.63333333,0.00067453,0.00012474,3
6825.00000000,0.00032901,0.00003148,5
6830.00000000,0.00020203,0.00014765,8
6835.71666667,0.00007856,0.00004560,7
6835.72500000,0.00007804,0.00004667,7
6835.93333333,0.00191050,0.00147411,28
6840.00000000,0.00056289,0.00045743,10
6841.26666667,0.00030136,0.00002630,5
6842.91666667,0.00020702,0.00002902,3
6850.00000000,0.00033623,0.00070433,21
6853.20000000,0.00004949,0.00006518,13
6854.94166667,0.00062235,0.00042474,8
6857.61666667,0.00004265,0.00001158,1
6858.57500000,0.00013892,0.00002298,3
6858.64166667,0.00007885,0.00003409,4
6860.00000000,0.00078997,0.00046426,7
6860.43333333,0.00453176,0.00188888,4
6862.34166667,0.00072039,0.00008238,5
6863.75000000,0.00004201,0.00001616,2
6865.00000000,0.00013324,0.00005719,4
6870.00000000,0.00020642,0.00012514,7
6870.66666667,0.00007473,0.00003624,22
6870.67500000,0.00007483,0.00003540,4
6872.89166667,0.00004305,0.00007462,19
6875.00000000,0.00103922,0.00022570,0
6879.77500000,0.00003352,0.00001403,4
6880.00000000,0.00141592,0.00099212,8
6884.76666667,0.00010209,0.00008485,10
6884.77500000,0.00010471,0.00008454,10
6884.98333333,0.00003287,0.00001659,6
6890.00000000,0.00025454,0.00016539,7
6893.01666667,0.00004353,0.00003036,8
6893.03333333,0.00004017,0.00003125,10
6898.75000000,0.00008001,0.00001483,3
6899.03333333,0.00013433,0.00005860,4
6899.73333333,0.00006174,0.00005573,11
6899.81666667,0.00024829,0.00007133,1
6899.86666667,0.00018748,0.00005249,1
6900.00000000,0.00172158,0.00240932,17
6907.20833333,0.00004611,0.00001515,1
6908.86666667,0.00005185,0.00001254,0
6909.78333333,0.00027066,0.00010220,2
6910.00000000,0.00016432,0.00014939,11
6910.29166667,0.00014552,0.00004737,1
6919.11666667,0.00009312,0.00004849,6
6919.12500000,0.00009203,0.00004922,6
6919.24166667,0.00005958,0.00001686,1
6920.00000000,0.00230990,0.00167131,8
6923.83333333,0.00003997,0.00002231,6
6925.00000000,0.00017474,0.00033430,21
6930.00000000,0.00005573,0.00003936,8
6932.36666667,0.00478556,0.00853352,19
6933.60000000,0.00013107,0.00011903,11
6938.32500000,0.00007688,0.00003880,6
6938.35000000,0.00006769,0.00004143,7
6940.00000000,0.00154788,0.00101580,7
6943.25833333,0.00020152,0.00003186,3
6945.02500000,0.00004476,0.00002234,6
6946.17500000,0.00090985,0.00008466,5
6947.35833333,0.00034469,0.00002691,5
6949.21666667,0.00012392,0.00052528,26
6949.25000000,0.00009579,0.00067333,25
6950.00000000,0.00407354,0.00372874,11
6953.12500000,0.00009846,0.00004183,4
6957.55833333,0.00034093,0.00001350,9
6960.00000000,0.00147220,0.00094555,7
6965.00000000,0.00007133,0.00003028,4
6969.08333333,0.00132484,0.00146623,14
6969.61666667,0.00043801,0.00022787,6
6970.35833333,0.00006081,0.00001836,1
6970.39166667,0.00007530,0.00001560,0
6971.46666667,0.00006118,0.00001343,0
6971.48333333,0.00005894,0.00001192,0
6971.90000000,0.00011551,0.00014253,13
6972.65833333,0.00004250,0.00001264,1
6975.00000000,0.00013174,0.00016783,13
6976.11666667,0.00050252,0.00004318,5
6976.12500000,0.00050181,0.00004230,5
6976.41666667,0.00064134,0.00002007,9
6977.45833333,0.00004645,0.00001179,0
6980.00000000,0.00100197,0.00083409,10
6982.42500000,0.00006229,0.00009511,17
6990.00833333,0.00020972,0.00008099,2
6997.05000000,0.00016080,0.00022695,17
7000.00000000,0.00153493,0.00073972,4
7005.00000000,0.00003391,0.00003407,24
7010.00000000,0.00017287,0.00010733,7
7011.15000000,0.00015788,0.00001359,5
7011.41666667,0.00036087,0.00007175,12
7012.20000000,0.00018702,0.00013211,8
7013.90833333,0.00021640,0.00001447,5
7014.62500000,0.00030815,0.00011003,2
7020.00833333,0.00069944,0.00027320,2
7020.89166667,0.00019821,0.00005060,0
7021.49166667,0.00003284,0.00002655,10
7025.00000000,0.00030642,0.00024117,10
7025.13333333,0.00007077,0.00002840,2
7030.00000000,0.00033900,0.00032889,11
7031.25000000,0.00164443,0.00112012,8
7040.00000000,0.00024282,0.00009625,2
7045.66666667,0.00022662,0.00005447,0
7045.67500000,0.00022649,0.00005482,0
7050.00000000,0.00079494,0.00105264,13
7060.00000000,0.00051159,0.00029711,7
7065.00000000,0.00004244,0.00002276,6
7070.00000000,0.00016680,0.00012267,8
7073.77500000,0.00021722,0.00003751,3
7075.00000000,0.00020785,0.00018746,11
7080.00000000,0.00057795,0.00044186,8
7084.27500000,0.00200374,0.00107881,6
7090.00000000,0.00018020,0.00015310,10
7090.86666667,0.00015473,0.00003580,0
7091.61666667,0.00008709,0.00001208,3
7094.99166667,0.00008063,0.00007208,11
7095.61666667,0.00058180,0.00006978,5
7095.62500000,0.00058596,0.00007025,5
7097.30000000,0.00106023,0.00027309,0
7100.00000000,0.00172125,0.00100712,7
7105.38333333,0.00037857,0.00002194,9
7109.37500000,0.00023361,0.00019682,10
7110.00000000,0.00026504,0.00018575,8
7120.00000000,0.00125709,0.00078879,7
7122.57500000,0.00046354,0.00008290,3
7124.99166667,0.00073971,0.00097545,13
7125.16666667,0.00007657,0.00001942,0
7125.17500000,0.00007585,0.00002014,1
7126.32500000,0.00016304,0.00006072,2
7126.34166667,0.00015851,0.00005824,2
7127.25000000,0.00010792,0.00038594,26
7130.00000000,0.00024612,0.00020674,10
7134.08333333,0.00032182,0.00046080,17
7135.00833333,0.00008164,0.00001380,3
7135.03333333,0.00006895,0.00001489,0
7140.00000000,0.00127619,0.00089430,8
7142.25833333,0.00010322,0.00003976,2
7145.00000000,0.00003388,0.00004013,13
7145.63333333,0.00010983,0.00005539,6
7150.00000000,0.00052749,0.00144299,23
7156.74166667,0.00003472,0.00002565,8
7159.01666667,0.00019563,0.00003421,3
7160.00000000,0.00153189,0.00100419,7
7160.16666667,0.00006890,0.00004225,7
7160.17500000,0.00006881,0.00004033,7
7163.29166667,0.00021676,0.00002130,5
7165.00000000,0.00006017,0.00004405,8
7165.03333333,0.00004341,0.00003331,8
7169.51666667,0.00010333,0.00003195,1
7170.00000000,0.00012055,0.00015154,13
7175.00000000,0.00044946,0.00018243,2
7177.72500000,0.00004630,0.00003060,15
7180.00000000,0.00221058,0.00144724,7
7180.82500000,0.00010197,0.00002115,0
7185.00000000,0.00003392,0.00004653,17
7187.26666667,0.00005993,0.00004445,8
7187.31666667,0.00007183,0.00002573,2
7188.00833333,0.00796586,0.00259173,1
7188.84166667,0.00005602,0.00001279,0
7190.00000000,0.00027235,0.00013990,6
7191.49166667,0.00005577,0.00001213,0
7198.78333333,0.00214653,0.00045239,0
7200.00000000,0.00241449,0.00233394,11
7205.00833333,0.00008333,0.00007795,11
7210.00000000,0.00024258,0.00026118,14
7210.28333333,0.00175262,0.00025981,3
7211.85000000,0.00014878,0.00003854,0
7220.00000000,0.00233339,0.00164268,8
7221.02500000,0.00013753,0.00001929,3
7221.03333333,0.00013684,0.00001961,3
7225.00000000,0.00041314,0.00004489,5
7226.55833333,0.00032181,0.00029152,11
7230.00000000,0.00012507,0.00015626,13
7231.00833333,0.00010076,0.00013024,13
7231.33333333,0.00009606,0.00012735,13
7233.10833333,0.00004309,0.00003818,11
7233.14166667,0.00003410,0.00004744,17
7240.00000000,0.00229738,0.00170110,8
7245.00833333,0.00006305,0.00004928,10
7250.00000000,0.00069729,0.00105144,17
7255.00000000,0.00008449,0.00002190,0
7260.00000000,0.00267965,0.00177945,15
7265.00833333,0.00005675,0.00004343,8
7265.62500000,0.00011750,0.00009803,10
7269.00833333,0.01388031,0.00665609,4
7270.00000000,0.00033020,0.00015978,4
7275.00000000,0.00078472,0.00023700,1
7280.00000000,0.00290647,0.00211420,8
7285.00000000,0.00004253,0.00004810,14
7290.00000000,0.00030487,0.00034472,14
7294.95833333,0.00004999,0.00002006,2
7295.00000000,0.00003620,0.00003214,11
7297.52500000,0.00024981,0.00001790,5
7297.53333333,0.00025314,0.00001985,5
7297.84166667,0.00034841,0.00002105,9
7299.79166667,0.00003961,0.00002472,7
7300.00000000,0.00266900,0.00117377,4
7305.00000000,0.00008385,0.00004068,22
7310.00000000,0.00037733,0.00017137,4
7311.85833333,0.00015371,0.00002618,3
7311.88333333,0.00014010,0.00003008,0
7317.59166667,0.00004141,0.00003247,10
7317.68333333,0.00004297,0.00002193,6
7319.13333333,0.00003626,0.00001556,4
7319.70833333,0.00008752,0.00002162,0
7319.72500000,0.00009026,0.00001946,0
7320.00000000,0.00213548,0.00167398,10
7320.35000000,0.00012243,0.00002109,3
7320.76666667,0.00011690,0.00001569,3
7321.98333333,0.00007237,0.00010063,17
7324.19166667,0.00003381,0.00003125,11
7325.00000000,0.00011185,0.00013411,13
7328.92500000,0.00045717,0.00008606,3
7330.00000000,0.00034722,0.00032092,11
7340.00000000,0.00245808,0.00185711,8
7342.40833333,0.00034573,0.00027292,10
7343.75833333,0.00005158,0.00002544,6
7349.55833333,0.00010284,0.00005368,6
7350.00000000,0.00032380,0.00087138,23
7353.26666667,0.00004558,0.00001590,2
7353.28333333,0.00004786,0.00001508,1
7360.00000000,0.00262581,0.00178081,8
7361.75833333,0.00132514,0.00067710,6
7365.02500000,0.00007553,0.00001946,0
7370.00000000,0.00039914,0.00024446,7
7372.19166667,0.00041056,0.00014718,2
7373.27500000,0.01028415,0.00475303,4
7375.00000000,0.00144672,0.00016985,5
7376.34166667,0.00033343,0.00003060,5
7379.00833333,0.00026152,0.00001663,9
7380.00000000,0.00219415,0.00162871,8
7380.12500000,0.00010222,0.00004791,4
7380.88333333,0.00004327,0.00001460,16
7381.35833333,0.00004107,0.00001390,2
7390.00000000,0.00032193,0.00026697,10
7400.00000000,0.00242238,0.00115501,4
7402.82500000,0.00004469,0.00005379,13
7402.87500000,0.00006320,0.00004780,8
7402.94166667,0.00006096,0.00004230,8
7405.00833333,0.00004405,0.00003335,8
7405.52500000,0.00008067,0.00003011,2
7406.90833333,0.00008644,0.00001279,3
7408.74166667,0.00003824,0.00001979,6
7410.00000000,0.00039372,0.00026544,15
7412.79166667,0.00082627,0.00011807,3
7420.00000000,0.00153317,0.00133796,10
7421.87500000,0.00034582,0.00031456,11
7422.14166667,0.00033025,0.00023853,8
7422.18333333,0.00038009,0.00019874,6
7425.00000000,0.00026994,0.00009025,16
7425.33333333,0.00008976,0.00005970,15
7429.90833333,0.00006056,0.00002544,4
7430.00000000,0.00024435,0.00018666,8
7431.19166667,0.00013149,0.00001400,5
7432.55833333,0.00180186,0.00126770,8
7434.30833333,0.00003305,0.00002227,15
7440.00000000,0.00145679,0.00106684,8
7446.30833333,0.00003502,0.00001711,6
7450.00000000,0.00026402,0.00071992,23
7450.98333333,0.00029947,0.00007862,0
7451.55000000,0.00061578,0.00119783,21
7454.85000000,0.00087952,0.00005224,9
7458.36666667,0.00022852,0.00003331,3
7458.37500000,0.00022815,0.00003320,3
7460.00000000,0.00113119,0.00095732,10
