Frequency,Intensity
2.136254309999999805e+03,1.664645839999999880e-05
2.136325839999999971e+03,1.673874619999999854e-05
2.136433120000000145e+03,9.722058250000000440e-06
2.136528490000000147e+03,1.679712369999999965e-05
2.136683460000000196e+03,1.496874979999999974e-05
2.136790750000000116e+03,1.371410930000000082e-05
2.136957649999999830e+03,1.371021330000000001e-05
2.137053010000000086e+03,1.263292439999999936e-05
2.137160300000000007e+03,1.027238709999999948e-05
2.137351040000000012e+03,1.365614600000000042e-05
2.137470249999999851e+03,9.693558129999999345e-06
2.137601380000000063e+03,1.952904600000000140e-05
2.137923240000000078e+03,1.591693209999999915e-05
2.138042449999999917e+03,1.415909060000000030e-05
2.138113980000000083e+03,1.380745690000000030e-05
2.138268950000000132e+03,1.070570720000000055e-05
2.138364320000000134e+03,1.643258239999999970e-05
2.138543130000000019e+03,1.738462850000000085e-05
2.138710019999999986e+03,2.117977290000000129e-05
2.138924599999999828e+03,1.375500859999999945e-05
2.139043810000000121e+03,3.070690230000000271e-05
2.140176300000000083e+03,8.398685329999999670e-06
2.140378949999999804e+03,9.120379100000000798e-06
2.140593530000000101e+03,1.059560870000000047e-05
2.141189580000000205e+03,8.472944589999999981e-06
2.141606810000000223e+03,1.161463179999999988e-05
2.141702180000000226e+03,1.055623060000000072e-05
2.141892910000000029e+03,8.718905000000000847e-06
2.142512799999999970e+03,9.258173809999999373e-06
2.142906190000000151e+03,9.887621910000000066e-06
2.145838740000000143e+03,1.196777979999999957e-05
2.146506310000000212e+03,1.072807980000000024e-05
2.146673200000000179e+03,3.191586599999999744e-05
2.146923539999999775e+03,1.338544889999999971e-05
2.147161959999999908e+03,1.599260170000000065e-05
2.147746090000000095e+03,8.196681470000000561e-06
2.147948739999999816e+03,1.007284779999999926e-05
2.147996430000000146e+03,1.065605829999999943e-05
2.148127559999999903e+03,1.257112749999999918e-05
2.148532870000000003e+03,8.411878309999999337e-06
2.148652079999999842e+03,1.371802660000000056e-05
2.148807049999999890e+03,1.243883469999999948e-05
2.149450780000000123e+03,1.518040019999999941e-05
2.149665359999999964e+03,1.045168620000000015e-05
2.149856090000000222e+03,1.686056519999999995e-05
2.150118350000000191e+03,1.834376249999999952e-05
2.150225640000000112e+03,2.545848559999999887e-05
2.150392530000000079e+03,3.455851459999999915e-05
2.150511739999999918e+03,1.702500480000000094e-05
2.150654790000000048e+03,1.898856070000000162e-05
2.150797840000000178e+03,1.474184839999999943e-05
2.151072029999999813e+03,2.242809329999999860e-05
2.151215079999999944e+03,1.412992069999999930e-05
2.151453500000000076e+03,2.460828390000000082e-05
2.151703829999999925e+03,1.553524139999999849e-05
2.151823040000000219e+03,1.486959949999999936e-05
2.152013780000000224e+03,1.140956709999999966e-05
2.152240279999999984e+03,1.064557549999999983e-05
2.152371410000000196e+03,1.540412209999999889e-05
2.152514459999999872e+03,9.681600030000000087e-06
2.152705190000000130e+03,1.561688259999999991e-05
2.152836319999999887e+03,9.227017370000000035e-06
2.153003220000000056e+03,1.914325139999999920e-05
2.153265480000000025e+03,9.491997150000000807e-06
2.153515820000000076e+03,8.815861540000000408e-06
2.153646949999999833e+03,1.356908640000000003e-05
2.153742310000000089e+03,1.004948869999999933e-05
2.153992650000000140e+03,1.162585150000000061e-05
2.154242990000000191e+03,1.184719430000000076e-05
2.154338360000000193e+03,1.555186570000000149e-05
2.154600620000000163e+03,9.557045889999999535e-06
2.155125140000000101e+03,1.159308039999999922e-05
2.155649660000000040e+03,1.464388400000000008e-05
2.155804630000000088e+03,9.761960520000000660e-06
2.155971529999999802e+03,8.233567920000000768e-06
2.156138420000000224e+03,2.547321880000000076e-05
2.156281469999999899e+03,1.806862469999999865e-05
2.156436439999999948e+03,1.139048789999999935e-05
2.156639099999999871e+03,8.500237820000000768e-06
2.156949039999999968e+03,1.586779179999999899e-05
