!Params
!Apodization=Kaiser
!Apodization Beta=6.0
!Band (MHz)=2000.0,8000.0
!Frequency Start (MHz)=2000.0
!Frequency Stop (MHz)=8000.0
!Gate Length (us)=20.0
!Gate Start (us)=0.0
!Normalization Reference Frequency (MHz)=2000.0
!Normalization Scale=1.0
!Normalization Slope (1/MHz)=0.000137
!Zero Pad=2
!Data
!FFT
freq	int_so2	int_water	int_deu
7675.50468	0.00001	0.00004	0.00000
3006.47020	0.00002	0.00012	0.00000
6806.30207	0.00002	0.00004	0.00000
6765.27023	0.00006	0.00016	0.00000
5402.60077	0.00001	0.00002	0.00000
7760.84661	0.00001	0.00059	0.00000
7498.39544	0.00002	0.00009	0.00000
5766.83283	0.00002	0.00004	0.00000
7282.92465	0.00002	0.00008	0.00000
5883.52680	0.00002	0.00002	0.00000
7366.37115	0.00002	0.00002	0.00000
5860.75783	0.00002	0.00008	0.00000
4887.93850	0.00003	0.00006	0.00000
7354.47407	0.00002	0.00006	0.00000
4675.92478	0.00002	0.00003	0.00000
4909.27696	0.00003	0.00028	0.00000
6722.83173	0.00003	0.00013	0.00000
3855.52645	0.00006	0.00011	0.00000
5742.93137	0.00002	0.00003	0.00000
3369.15255	0.00001	0.00002	0.00000
6720.19720	0.00003	0.00016	0.00000
5370.81957	0.00010	0.00032	0.00000
7579.21934	0.00002	0.00034	0.00000
5795.78876	0.00002	0.00033	0.00000
7292.06800	0.00004	0.00017	0.00000
7292.15145	0.00001	0.00007	0.00000
6824.54109	0.00002	0.00002	0.00000
7489.32362	0.00003	0.00005	0.00000
7324.20683	0.00002	0.00006	0.00000
5399.47748	0.00001	0.00003	0.00000
3203.11785	0.00001	0.00003	0.00000
6607.97358	0.00006	0.00015	0.00000
7204.03194	0.00002	0.00005	0.00000
7653.39136	0.00002	0.00003	0.00000
5096.45939	0.00003	0.00018	0.00000
6287.65821	0.00002	0.00003	0.00000
6680.59587	0.00001	0.00025	0.00000
6719.75613	0.00002	0.00004	0.00000
5321.20466	0.00004	0.00006	0.00000
6961.29799	0.00001	0.00011	0.00000
4357.27835	0.00002	0.00003	0.00000
7240.56959	0.00001	0.00002	0.00000
5389.40430	0.00004	0.00030	0.00000
7284.96313	0.00003	0.00014	0.00000
7498.53849	0.00001	0.00012	0.00000
6779.28925	0.00002	0.00003	0.00000
4126.53685	0.00004	0.00070	0.00000
6393.81409	0.00009	0.00017	0.00000
6428.86162	0.00002	0.00002	0.00000
3958.78553	0.00002	0.00002	0.00000
5547.07050	0.00002	0.00002	0.00000
4078.84121	0.00002	0.00034	0.00000
4248.05880	0.00002	0.00002	0.00000
6786.76367	0.00005	0.00007	0.00000
6454.55122	0.00001	0.00004	0.00000
6498.49176	0.00003	0.00012	0.00000
6676.37587	0.00001	0.00003	0.00000
7640.19489	0.00002	0.00004	0.00000
5122.42317	0.00002	0.00014	0.00000
3660.63118	0.00002	0.00002	0.00000
5667.01889	0.00001	0.00002	0.00000
4536.53336	0.00004	0.00032	0.00000
5425.90618	0.00001	0.00003	0.00000
7556.66494	0.00001	0.00004	0.00000
7535.40993	0.00003	0.00007	0.00000
3124.36819	0.00001	0.00002	0.00000
5134.65405	0.00002	0.00002	0.00000
7014.83488	0.00002	0.00020	0.00002
3906.70300	0.00003	0.00114	0.00002
4397.14193	0.00002	0.00004	0.00002
3646.23070	0.00005	0.00032	0.00002
7354.77209	0.00019	0.00433	0.00008
6104.25472	0.00003	0.00025	0.00002
7127.34461	0.00010	0.00013	0.00002
4285.07328	0.00003	0.00004	0.00003
7391.59584	0.00002	0.00003	0.00002
5899.89424	0.00002	0.00008	0.00002
5890.54823	0.00008	0.00010	0.00008
5969.57207	0.00006	0.00008	0.00006
5385.69689	0.00013	0.00030	0.00002
6018.40019	0.00008	0.00034	0.00002
3124.51124	0.00002	0.00003	0.00002
6720.73364	0.00009	0.00030	0.00008
7240.11660	0.00002	0.00004	0.00002
5088.01937	0.00010	0.00031	0.00002
7303.92933	0.00004	0.00007	0.00003
7640.94591	0.00003	0.00003	0.00003
5378.12710	0.00013	0.00029	0.00003
7018.69726	0.00002	0.00008	0.00002
4285.53820	0.00004	0.00037	0.00002
7190.07254	0.00004	0.00005	0.00002
6806.37360	0.00003	0.00009	0.00003
6362.99849	0.00008	0.00012	0.00002
3124.79734	0.00004	0.00006	0.00004
4062.49762	0.00017	0.00018	0.00011
5370.83149	0.00010	0.00034	0.00002
3351.11618	0.00002	0.00003	0.00002
3750.00238	0.00004	0.00011	0.00004
4471.14706	0.00003	0.00003	0.00002
3646.21878	0.00005	0.00028	0.00002
5581.91538	0.00014	0.00015	0.00007
4516.22009	0.00008	0.00043	0.00004
7334.74493	0.00013	0.00017	0.00002
3125.11921	0.00012	0.00015	0.00012
7014.82296	0.00002	0.00020	0.00002
6767.23719	0.00003	0.00004	0.00003
6236.24325	0.00004	0.00005	0.00002
6577.90899	0.00013	0.00032	0.00003
3125.00000	0.01913	0.02196	0.01794
6517.13610	0.00005	0.00018	0.00002
3701.75838	0.00002	0.00030	0.00002
6459.62954	0.00003	0.00007	0.00003
2812.50477	0.00072	0.00090	0.00070
5899.93000	0.00003	0.00006	0.00002
3190.54127	0.00010	0.00032	0.00003
4418.84995	0.00002	0.00003	0.00002
7959.41353	0.00002	0.00056	0.00002
6405.30586	0.00007	0.00012	0.00003
5088.03129	0.00009	0.00029	0.00002
2187.50238	0.00028	0.00047	0.00007
6364.25018	0.00004	0.00005	0.00002
6777.25077	0.00003	0.00044	0.00003
7190.08446	0.00004	0.00005	0.00002
4796.70763	0.00003	0.00005	0.00003
5445.12272	0.00006	0.00019	0.00003
4516.23201	0.00008	0.00044	0.00004
6806.39744	0.00004	0.00008	0.00002
2314.44836	0.00002	0.00003	0.00002
5581.86769	0.00007	0.00022	0.00003
2913.34391	0.00007	0.00083	0.00002
7354.70057	0.00004	0.00020	0.00002
3124.88079	0.00012	0.00014	0.00012
3693.31837	0.00009	0.00053	0.00002
6228.57809	0.00002	0.00008	0.00002
2913.32006	0.00006	0.00101	0.00002
4205.78718	0.00000	0.00002	0.00000
7609.92765	0.00004	0.00000	0.00000
2226.57919	0.00001	0.00000	0.00000
7345.97445	0.00000	0.00000	0.00010
2166.78381	0.00002	0.00000	0.00000
7394.00387	0.00000	0.00006	0.00000
7796.32330	0.00150	0.00000	0.00000
2153.94497	0.00001	0.00000	0.00000
5682.23000	0.00000	0.00000	0.00008
5552.22034	0.00000	0.00000	0.00004
6064.83221	0.00000	0.00002	0.00000
6907.03392	0.00001	0.00000	0.00000
5014.49108	0.00000	0.00062	0.00000
7245.58830	0.00001	0.00000	0.00000
4102.56386	0.00000	0.00007	0.00006
5048.01273	0.00002	0.00000	0.00000
6306.04029	0.00000	0.00000	0.00002
7125.54455	0.00001	0.00000	0.00000
6975.26932	0.00000	0.00002	0.00000
7497.68019	0.00003	0.00000	0.00000
5670.33291	0.00001	0.00000	0.00000
6673.30027	0.00001	0.00000	0.00000
4462.26597	0.00001	0.00000	0.00000
7970.83378	0.00001	0.00000	0.00000
7454.76484	0.00012	0.00000	0.00000
5447.42346	0.00003	0.00000	0.00000
6303.07198	0.00001	0.00000	0.00000
6823.48013	0.00002	0.00000	0.00000
6105.87597	0.00007	0.00000	0.00000
4134.59539	0.00008	0.00000	0.00000
6262.00438	0.00000	0.00000	0.00002
6649.05310	0.00000	0.00002	0.00000
6964.88619	0.00001	0.00000	0.00000
5515.71846	0.00000	0.00003	0.00005
4150.93899	0.00000	0.00000	0.00008
3614.58063	0.00000	0.00016	0.00013
5107.40280	0.00000	0.00000	0.00002
5533.93364	0.00003	0.00000	0.00000
3518.22376	0.00000	0.00000	0.00002
5803.74002	0.00000	0.00006	0.00000
