freq,cluster
6844.35368,13
3104.25758,0
7302.59418,7
6300.75932,
3644.526,13
3659.8444,0
5577.03972,1
3735.49461,2
3783.42867,7
4027.10438,4
3703.85647,8
5574.16677,2
5489.0275,2
7207.16715,23
6351.161,16
3516.98399,14
4587.45956,1
5571.17462,10
5788.11169,0
7317.93642,0
5276.5727,1
7678.74718,34
6056.55909,26
4927.55175,8
6431.68688,19
7645.58315,1
6565.2132,0
6431.60343,19
7095.98064,9
2314.44836,8
6319.45133,3
4396.64125,12
7355.54695,28
6408.89406,24
3664.2909,0
6396.5559,0
6757.9031,1
7223.4869,3
5387.25853,20
5284.34515,0
4369.06815,2
5581.9273,28
7381.67763,1
5782.10354,3
3404.85573,0
7305.50289,7
6760.89525,4
3125.53644,2
5554.23498,0
7405.86519,0
5258.64363,4
6622.50519,28
4876.1487,6
4784.71518,10
6751.89495,30
4663.5747,4
3719.67554,5
5445.12272,29
5287.44459,3
2127.61164,1
6417.89436,39
4351.17483,3
7138.93175,2
6753.46851,8
7436.01322,0
6806.39744,14
6677.3653,4
4516.23201,32
3515.55347,38
5316.40053,2
5319.39268,10
6296.53931,
6601.52435,2
4736.63807,3
5556.15425,5
5839.84852,11
6361.73487,1
5618.36958,17
4487.52642,1
7826.37596,5
3524.8518,17
5170.66717,2
3783.41675,7
6053.91264,6
6349.95699,13
7405.73406,4
7979.6195,1
3644.51408,13
5216.07399,3
6458.74739,5
6037.10413,5
7205.58167,18
7214.92767,13
6480.4554,0
7812.5,1
6431.94914,15
7888.7105,4
7496.72651,8
6395.44725,24
6753.36123,4
6394.99426,39
4806.28014,4
6317.81816,20
6486.45163,37
6506.13308,2
6088.97209,3
4653.08428,0
4736.5427,1
2623.2481,5
4645.66946,0
6774.48511,8
7047.9393,2
7360.25572,35
4168.67733,10
7358.78944,30
7154.09517,22
7232.76138,7
5527.4725,7
6762.68339,8
5112.8149,6
7870.45956,
5554.59261,17
6390.57159,7
7404.31547,12
6765.58018,15
5581.86769,29
6144.88125,9
5912.95958,0
5386.12604,16
5672.87207,3
3631.6514,2
5404.41275,0
7272.35079,0
6392.46702,11
6311.88154,37
4704.4754,2
7970.67881,9
3703.80878,2
5622.81609,2
4451.38216,27
6351.3875,11
6061.23209,7
6109.76219,9
7902.0381,15
6453.19223,20
7317.84105,9
3703.7611,0
6120.646,1
6515.03801,1
6445.41979,3
4572.43919,4
6768.69154,25
7083.98819,6
7406.22282,0
4475.53396,0
2604.47264,3
4345.4051,16
6418.02549,16
5531.77595,7
4736.87649,12
4556.08368,0
4853.60622,18
3480.78012,19
2130.85413,7
5820.39356,3
7032.95469,4
6396.80624,5
